ID,Character,Gender,Alive,Title,Forename,Surname,Old Surname,Alias,Book,Page,Chapter Name,POV
1881,Denzo D'han,M,A,,Denzo,D'han,,,A Dance with Dragons,325,The Windblown,Quentyn Martell
1882,"Meris, Pretty Meris",F,A,,Meris,,,Pretty Meris,A Dance with Dragons,328,The Windblown,Quentyn Martell
1883,Hugh Hungerford,M,A,,Hugh,Hungerford,,,A Dance with Dragons,328,The Windblown,Quentyn Martell
1884,Lewis Lanster,M,A,,Lewis,Lanster,,,A Dance with Dragons,329,The Windblown,Quentyn Martell
1885,Ser Orson Stone,M,A,Ser,Orson,Stone,,,A Dance with Dragons,330,The Windblown,Quentyn Martell
1886,"Will, Will of the Woods",M,A,,Will,,,Will of the Woods,A Dance with Dragons,330,The Windblown,Quentyn Martell
1887,Ser Lucifer Long,M,A,Ser,Lucifer,Long,,,A Dance with Dragons,330,The Windblown,Quentyn Martell
1888,Webber,M,A,,Webber,,,,A Dance with Dragons,330,The Windblown,Quentyn Martell
1889,"Quenton Greyjoy, Cousin of Asha",M,D,,Quenton,Greyjoy,,Cousin of Asha,A Dance with Dragons,333,The Wayward Bride,Asha Greyjoy
1890,"Dagon Greyjoy, The Drunkard",M,D,,Dagon,Greyjoy,,The Drunkard,A Dance with Dragons,333,The Wayward Bride,Asha Greyjoy
1891,Cromm,M,D,,Cromm,,,,A Dance with Dragons,333,The Wayward Bride,Asha Greyjoy
1892,"Qarl Kenning, Queer Qarl Kenning",M,A,,Qarl,Kenning,,Queer Qarl Kenning,A Dance with Dragons,335,The Wayward Bride,Asha Greyjoy
1893,Qarl Quickaxe,M,A,,Qarl,Quickaxe,,,A Dance with Dragons,335,The Wayward Bride,Asha Greyjoy
1894,"Hagen, The Horn",M,D,,Hagen,,,The Horn,A Dance with Dragons,339,The Wayward Bride,Asha Greyjoy
1895,"Torgon Greyiron, The Latecomer",M,D,,Torgon,Greyiron,,The Latecomer,A Dance with Dragons,341,The Wayward Bride,Asha Greyjoy
1896,Urragon Goodbrother,M,D,,Urragon,Goodbrother,,,A Dance with Dragons,342,The Wayward Bride,Asha Greyjoy
1897,Lorren Longaxe,M,A,,Lorren,Longaxe,,,A Dance with Dragons,342,The Wayward Bride,Asha Greyjoy
1898,"Harl, Six-Toed Harl",M,U,,Harl,,,Six-Toed Harl,A Dance with Dragons,342,The Wayward Bride,Asha Greyjoy
1899,Grimtongue,M,A,,Grimtongue,,,,A Dance with Dragons,342,The Wayward Bride,Asha Greyjoy
1900,"Rolfe, The Dwarf",M,D,,Rolfe,,,The Dwarf,A Dance with Dragons,344,The Wayward Bride,Asha Greyjoy
1901,"Roggon, Rustbeard",M,A,,Roggon,,,Rustbeard,A Dance with Dragons,346,The Wayward Bride,Asha Greyjoy
1902,"Dale, Droopeye Dale",M,A,,Dale,,,Droopeye Dale,A Dance with Dragons,347,The Wayward Bride,Asha Greyjoy
1903,Methyso,M,A,,Methyso,,,,A Dance with Dragons,361,Tyrion VII,Tyrion Lannister
1904,Alios Qhaedar,M,A,,Alios,Qhaedar,,,A Dance with Dragons,361,Tyrion VII,Tyrion Lannister
1905,"Widow of the Waterfront, Vogarro's Whore",F,A,,,,,"Widow of the Waterfront, Vogarro's Whore",A Dance with Dragons,364,Tyrion VII,Tyrion Lannister
1906,Vogarro,M,D,,Vogarro,,,,A Dance with Dragons,364,Tyrion VII,Tyrion Lannister
1907,Parquello Vaelaros,M,A,,Parquello,Vaelaros,,,A Dance with Dragons,367,Tyrion VII,Tyrion Lannister
1908,Belicho Staegone,M,A,,Belicho,Staegone,,,A Dance with Dragons,367,Tyrion VII,Tyrion Lannister
1909,Triarch Trianna,F,A,Triarch,Trianna,,,,A Dance with Dragons,367,Tyrion VII,Tyrion Lannister
1910,Oppo,M,D,,Oppo,,,,A Dance with Dragons,369,Tyrion VII,Tyrion Lannister
1911,Penny,F,A,,Penny,,,,A Dance with Dragons,370,Tyrion VII,Tyrion Lannister
1912,"Prince Jacaerys Velaryon, Jace",M,D,Prince,Jacaerys,Velaryon,,Jace,A Dance with Dragons,374,Jon VI,Jon Snow
1913,"Garth, Of Wolf's Den",M,A,,Garth,,,Of Wolf's Den,A Dance with Dragons,382,Davos IV,Davos Seaworth
1914,Therry,M,A,,Therry,,,,A Dance with Dragons,383,Davos IV,Davos Seaworth
1915,Ser Bartimus,M,A,Ser,Bartimus,,,,A Dance with Dragons,383,Davos IV,Davos Seaworth
1916,"King Osgood Arryn, The Old Falcon",M,D,King,Osgood,Arryn,,The Old Falcon,A Dance with Dragons,384,Davos IV,Davos Seaworth
1917,"King Oswin Arryn, The Talon",M,D,King,Oswin,Arryn,,The Talon,A Dance with Dragons,384,Davos IV,Davos Seaworth
1918,"Brandon Stark, Ice Eyes",M,D,,Brandon,Stark,,Ice Eyes,A Dance with Dragons,385,Davos IV,Davos Seaworth
1919,Wynafryd Manderly,F,A,,Wynafryd,Manderly,,,A Dance with Dragons,384,Davos IV,Davos Seaworth
1920,Miklaz,M,A,,Miklaz,,,,A Dance with Dragons,398,Daenerys V,Daenerys Targaryen
1921,Kezmya Pahl,F,A,,Kezmya,Pahl,,,A Dance with Dragons,398,Daenerys V,Daenerys Targaryen
1922,Ezzara,F,A,,Ezzara,,,,A Dance with Dragons,398,Daenerys V,Daenerys Targaryen
1923,Morgan,M,A,,Morgan,,,,A Dance with Dragons,414,Melisandre I,Melisandre
1924,Merrel,M,A,,Merrel,,,,A Dance with Dragons,414,Melisandre I,Melisandre
1925,"Alf, Of Runnymudd",M,A,,Alf,,,Of Runnymudd,A Dance with Dragons,416,Melisandre I,Melisandre
1926,Lord Harwood Stout,M,A,Lord,Harwood,Stout,,,A Dance with Dragons,422,Reek III,Theon Greyjoy
1927,Will Short,M,A,,Will,Short,,,A Dance with Dragons,422,Reek III,Theon Greyjoy
1928,Lady Barbrey Dustin (Ryswell),F,A,Lady,Barbrey,Dustin,Ryswell,,A Dance with Dragons,424,Reek III,Theon Greyjoy
1929,Roose Ryswell,M,A,,Roose,Ryswell,,,A Dance with Dragons,424,Reek III,Theon Greyjoy
1930,Luton,M,D,,Luton,,,,A Dance with Dragons,429,Reek III,Theon Greyjoy
1931,Maester Uthor,M,U,Maester,Uthor,,,,A Dance with Dragons,430,Reek III,Theon Greyjoy
1932,Moqorro,M,A,,Moqorro,,,,A Dance with Dragons,434,Tyrion VIII,Tyrion Lannister
1933,Triarch Belicho,M,D,Triarch,Belicho,,,,A Dance with Dragons,439,Tyrion VIII,Tyrion Lannister
1934,Hop-Bean,M,D,,Hop-Bean,,,,A Dance with Dragons,443,Tyrion VIII,Tyrion Lannister
1935,Ash,,A,,Ash,,,,A Dance with Dragons,448,Bran III,Bran Stark
1936,Leaf,F,A,,Leaf,,,,A Dance with Dragons,448,Bran III,Bran Stark
1937,Scales,,A,,Scales,,,,A Dance with Dragons,448,Bran III,Bran Stark
1938,Black Knife,,A,,Black Knife,,,,A Dance with Dragons,448,Bran III,Bran Stark
1939,Snowylocks,F,A,,Snowylocks,,,,A Dance with Dragons,448,Bran III,Bran Stark
1940,Coals,,A,,Coals,,,,A Dance with Dragons,448,Bran III,Bran Stark
1941,Tom Barleycorn,M,A,,Tom,Barleycorn,,,A Dance with Dragons,463,Jon VII,Jon Snow
1942,"Duncan Liddle, Big Liddle",M,A,,Duncan,Liddle,,Big Liddle,A Dance with Dragons,463,Jon VII,Jon Snow
1943,"Luke, Of Longtown",M,A,,Luke,,,Of Longtown,A Dance with Dragons,463,Jon VII,Jon Snow
1944,Leathers,M,A,,Leathers,,,,A Dance with Dragons,463,Jon VII,Jon Snow
1945,Jax,M,A,,Jax,,,,A Dance with Dragons,463,Jon VII,Jon Snow
1946,Alysane Mormont,F,A,,Alysane,Mormont,,,A Dance with Dragons,470,Jon VII,Jon Snow
1947,Lord Slate,M,U,Lord,,Slate,,,A Dance with Dragons,485,The Prince of Winterfell,Theon Greyjoy
1948,Maester Medrick,M,A,Maester,Medrick,,,,A Dance with Dragons,495,The Prince of Winterfell,Theon Greyjoy
1949,Maester Rhodry,M,A,Maester,Rhodry,,,,A Dance with Dragons,495,The Prince of Winterfell,Theon Greyjoy
1950,Maester Henly,M,A,Maester,Henly,,,,A Dance with Dragons,495,The Prince of Winterfell,Theon Greyjoy
1951,Maester Walys (Flowers),M,D,Maester,Walys,,Flowers,,A Dance with Dragons,495,The Prince of Winterfell,Theon Greyjoy
1952,"Daenerys Targaryen, Daughter of Aegon IV",F,D,,Daenerys,Targaryen,,Daughter of Aegon IV,A Dance with Dragons,500,The Watcher,Areo Hotah
1953,"Wun Weg Wun Dar Wun, Wun Wun",M,A,,Wun,Weg Wun Dar Wun,,Wun Wun,A Dance with Dragons,517,Jon VIII,Jon Snow
1954,Myrtle,F,D,,Myrtle,,,,A Dance with Dragons,539,The Turncloak,Theon Greyjoy
1955,Holly,F,D,,Holly,,,,A Dance with Dragons,539,The Turncloak,Theon Greyjoy
1956,Rowan,F,D,,Rowan,,,,A Dance with Dragons,539,The Turncloak,Theon Greyjoy
1957,"Beron, Serjeant for House Dustin",M,A,,Beron,,,Serjeant for House Dustin,A Dance with Dragons,544,The Turncloak,Theon Greyjoy
1958,"Morgan Liddle, Middle Liddle",M,A,,Morgan,Liddle,,Middle Liddle,A Dance with Dragons,551,The King's Prize,Asha Greyjoy
1959,"Lord Brandon Norrey, The Norrey",M,A,Lord,Brandon,Norrey,,The Norrey,A Dance with Dragons,551,The King's Prize,Asha Greyjoy
1960,"Hugo Wull, Big Bucket Wull",M,A,,Hugo,Wull,,Big Bucket Wull,A Dance with Dragons,551,The King's Prize,Asha Greyjoy
1961,Artos Flint,M,A,,Artos,Flint,,,A Dance with Dragons,551,The King's Prize,Asha Greyjoy
1962,Lord Robin Peasebury,M,A,Lord,Robin,Peasebury,,,A Dance with Dragons,551,The King's Prize,Asha Greyjoy
1963,Lyra Mormont,F,A,,Lyra,Mormont,,,A Dance with Dragons,554,The King's Prize,Asha Greyjoy
1964,"Jorelle Mormont, Jory",F,A,,Jorelle,Mormont,,Jory,A Dance with Dragons,554,The King's Prize,Asha Greyjoy
1965,Benjicot Branch,M,A,,Benjicot,Branch,,,A Dance with Dragons,557,The King's Prize,Asha Greyjoy
1966,Ser Harys Cobb,M,A,Ser,Harys,Cobb,,,A Dance with Dragons,559,The King's Prize,Asha Greyjoy
1967,"William Foxglove, Will Foxglove",M,A,,William,Foxglove,,Will Foxglove,A Dance with Dragons,559,The King's Prize,Asha Greyjoy
1968,"Donnel Flint, Black Donnel Flint",M,A,,Donnel,Flint,,Black Donnel Flint,A Dance with Dragons,560,The King's Prize,Asha Greyjoy
1969,"Jack, Ginger Jack",M,A,,Jack,,,Ginger Jack,A Dance with Dragons,569,Daenerys VII,Daenerys Targaryen
1970,Ser Narbert Grandison,M,A,Ser,Narbert,Grandison,,,A Dance with Dragons,579,Jon IX,Jon Snow
1971,Ser Benethon Scales,M,A,Ser,Benethon,Scales,,,A Dance with Dragons,579,Jon IX,Jon Snow
1972,Ser Brus Buckler,M,A,Ser,Brus,Buckler,,,A Dance with Dragons,579,Jon IX,Jon Snow
1973,"Ser Patrek, Of King's Mountain",M,D,Ser,Patrek,,,Of King's Mountain,A Dance with Dragons,579,Jon IX,Jon Snow
1974,"Ser Dorden, The Dour",M,A,Ser,Dorden,,,The Dour,A Dance with Dragons,579,Jon IX,Jon Snow
1975,"Ser Malegorn, Of Redpool",M,A,Ser,Malegorn,,,Of Redpool,A Dance with Dragons,579,Jon IX,Jon Snow
1976,Ser Lambert Whitewater,M,A,Ser,Lambert,Whitewater,,,A Dance with Dragons,579,Jon IX,Jon Snow
1977,Ser Perkin Follard,M,A,Ser,Perkin,Follard,,,A Dance with Dragons,579,Jon IX,Jon Snow
1978,Tycho Nestoris,M,A,,Tycho,Nestoris,,,A Dance with Dragons,580,Jon IX,Jon Snow
1979,Dannel,M,A,,Dannel,,,,A Dance with Dragons,588,Jon IX,Jon Snow
1980,Cregan Karstark,M,A,,Cregan,Karstark,,,A Dance with Dragons,590,Jon IX,Jon Snow
1981,Tormo Fregar,M,A,,Tormo,Fregar,,,A Dance with Dragons,594,The Blind Girl,Arya Stark
1982,Pynto,M,A,,Pynto,,,,A Dance with Dragons,601,The Blind Girl,Arya Stark
1983,"Gelmarr, The Grim",M,D,,Gelmarr,,,The Grim,A Dance with Dragons,608,A Ghost in Winterfell,Theon Greyjoy
1984,Nurse,M,D,,Nurse,,,,A Dance with Dragons,622,Tyrion X,Tyrion Lannister
1985,Zahrina,F,A,,Zahrina,,,,A Dance with Dragons,624,Tyrion X,Tyrion Lannister
1986,Sweets,,U,,Sweets,,,,A Dance with Dragons,627,Tyrion X,Tyrion Lannister
1987,Hildy,M,A,,Hildy,,,,A Dance with Dragons,634,Jaime I,Jaime Lannister
1988,Lady Barba Bracken,F,D,Lady,Barba,Bracken,,,A Dance with Dragons,636,Jaime I,Jaime Lannister
1989,Lady Melissa Blackwood,F,D,Lady,Melissa,Blackwood,,,A Dance with Dragons,636,Jaime I,Jaime Lannister
1990,Bethany Blackwood,F,A,,Bethany,Blackwood,,,A Dance with Dragons,640,Jaime I,Jaime Lannister
1991,"Benjicot Blackwood, Bloody Ben Blackwood",M,D,,Benjicot,Blackwood,,Bloody Ben Blackwood,A Dance with Dragons,640,Jaime I,Jaime Lannister
1992,Robert Blackwood,M,D,,Robert,Blackwood,,,A Dance with Dragons,640,Jaime I,Jaime Lannister
1993,Brynden Blackwood,M,A,,Brynden,Blackwood,,,A Dance with Dragons,640,Jaime I,Jaime Lannister
1994,"Hoster Blackwood, Hos",M,A,,Hoster,Blackwood,,Hos,A Dance with Dragons,640,Jaime I,Jaime Lannister
1995,"Harry Rivers, Bastard of Bracken",M,D,,Harry,Rivers,,Bastard of Bracken,A Dance with Dragons,640,Jaime I,Jaime Lannister
1996,"Harry Merrell, Hot Harry Merrell",M,A,,Harry,Merrell,,Hot Harry Merrell,A Dance with Dragons,644,Jaime I,Jaime Lannister
1997,Harsley,M,D,,Harsley,,,,A Dance with Dragons,645,Jaime I,Jaime Lannister
1998,Lacey,F,D,,Lacey,,,,A Dance with Dragons,645,Jaime I,Jaime Lannister
1999,"Lord Torghen Flint, Old Flint/The Flint",M,A,Lord,Torghen,Flint,,Old Flint/The Flint,A Dance with Dragons,655,Jon X,Jon Snow
2000,Gylo Rhegan,M,A,,Gylo,Rhegan,,,A Dance with Dragons,662,Daenerys VIII,Daenerys Targaryen
2001,Hero,M,A,,Hero,,,,A Dance with Dragons,663,Daenerys VIII,Daenerys Targaryen
2002,Marghaz zo Loraq,M,A,,Marghaz,zo Loraq,,,A Dance with Dragons,663,Daenerys VIII,Daenerys Targaryen
2003,Squirrel,F,D,,Squirrel,,,,A Dance with Dragons,673,Theon I,Theon Greyjoy
2004,"Willow, Willow Witch-eye",F,D,,Willow,,,Willow Witch-eye,A Dance with Dragons,679,Theon I,Theon Greyjoy
2005,Frenya,F,D,,Frenya,,,,A Dance with Dragons,674,Theon I,Theon Greyjoy
2006,"Tom Codd, Bloodless Tom",M,A,,Tom,Codd,,Bloodless Tom,A Dance with Dragons,742,The Iron Suitor,Victarion Greyjoy
2007,"Daegon Shepherd, The Black Shepherd",M,A,,Daegon,Shepherd,,The Black Shepherd,A Dance with Dragons,742,The Iron Suitor,Victarion Greyjoy
2008,"Rodrik Sparr, The Vole",M,A,,Rodrik,Sparr,,The Vole,A Dance with Dragons,742,The Iron Suitor,Victarion Greyjoy
2009,Maester Kerwin,M,D,Maester,Kerwin,,,,A Dance with Dragons,734,The Queensguard,Barristan Selmy
2010,Burton Humble,M,A,,Burton,Humble,,,A Dance with Dragons,747,The Iron Suitor,Victarion Greyjoy
2011,Longwater Pyke,M,A,,Longwater,Pyke,,,A Dance with Dragons,749,The Iron Suitor,Victarion Greyjoy
2012,Scar,M,U,,Scar,,,,A Dance with Dragons,756,Tyrion XI,Tyrion Lannister
2013,Morgo,M,U,,Morgo,,,,A Dance with Dragons,758,Tyrion XI,Tyrion Lannister
2014,Viserys Plumm,M,D,,Viserys,Plumm,,,A Dance with Dragons,767,Tyrion XI,Tyrion Lannister
2015,"Tybero Istarion, Inkpots",M,A,,Tybero,Istarion,,Inkpots,A Dance with Dragons,768,Tyrion XI,Tyrion Lannister
2016,"Kasporio, The Cunning/The Cunt",M,A,,Kasporio,,,The Cunning/The Cunt,A Dance with Dragons,768,Tyrion XI,Tyrion Lannister
2017,"Maris, Black Maris",F,A,,Maris,,,Black Maris,A Dance with Dragons,770,Jon XII,Jon Snow
2018,"Fulk, The Flea",M,A,,Fulk,,,The Flea,A Dance with Dragons,771,Jon XII,Jon Snow
2019,"Garrett, Garrett Greenspear",M,A,,Garrett,,,Garrett Greenspear,A Dance with Dragons,771,Jon XII,Jon Snow
2020,Soren Shieldbreaker,M,A,,Soren,Shieldbreaker,,,A Dance with Dragons,773,Jon XII,Jon Snow
2021,Gerrick Kingsblood,M,A,,Gerrick,Kingsblood,,,A Dance with Dragons,773,Jon XII,Jon Snow
2022,"Harle, The Huntsman",M,A,,Harle,,,The Huntsman,A Dance with Dragons,773,Jon XII,Jon Snow
2023,"Harle, The Handsome",M,A,,Harle,,,The Handsome,A Dance with Dragons,773,Jon XII,Jon Snow
2024,Howd Wanderer,M,A,,Howd,Wanderer,,,A Dance with Dragons,773,Jon XII,Jon Snow
2025,Brogg,M,A,,Brogg,,,,A Dance with Dragons,773,Jon XII,Jon Snow
2026,Devyn Sealskinner,M,A,,Devyn,Sealskinner,,,A Dance with Dragons,773,Jon XII,Jon Snow
2027,"Kyleg, Of the Wooden Ear",M,A,,Kyleg,,,Of the Wooden Ear,A Dance with Dragons,773,Jon XII,Jon Snow
2028,"Morna, White Mask",F,A,,Morna,,,White Mask,A Dance with Dragons,773,Jon XII,Jon Snow
2029,The Great Walrus,,A,,,,,The Great Walrus,A Dance with Dragons,773,Jon XII,Jon Snow
2030,"Harghaz, The Hero",M,D,,Harghaz,,,The Hero,A Dance with Dragons,784,The Discarded Knight,Barristan Selmy
2031,Malo Jayn,M,A,,Malo,Jayn,,,A Dance with Dragons,802,The Griffin Reborn,Jon Connington
2032,Ser Brendel Byrne,M,A,Ser,Brendel,Byrne,,,A Dance with Dragons,802,The Griffin Reborn,Jon Connington
2033,Lord Armond Connington,M,D,Lord,Armond,Connington,,,A Dance with Dragons,803,The Griffin Reborn,Jon Connington
2034,Ser Ronald Connington,M,D,Ser,Ronald,Connington,,,A Dance with Dragons,804,The Griffin Reborn,Jon Connington
2035,Raymund Connington,M,A,,Raymund,Connington,,,A Dance with Dragons,805,The Griffin Reborn,Jon Connington
2036,Alynne Connington,F,A,,Alynne,Connington,,,A Dance with Dragons,805,The Griffin Reborn,Jon Connington
2037,Ronald Storm,M,A,,Ronald,Storm,,,A Dance with Dragons,805,The Griffin Reborn,Jon Connington
2038,Dick Cole,M,A,,Dick,Cole,,,A Dance with Dragons,810,The Griffin Reborn,Jon Connington
2039,Lymond Pease,M,A,,Lymond,Pease,,,A Dance with Dragons,810,The Griffin Reborn,Jon Connington
2040,"Canty, Man-at-arms in Stannis' army",M,A,,Canty,,,Man-at-arms in Stannis' army,A Dance with Dragons,817,The Sacrifice,Asha Greyjoy
2041,Ser Humfrey Clifton,M,A,Ser,Humfrey,Clifton,,,A Dance with Dragons,821,The Sacrifice,Asha Greyjoy
2042,Ser Ormund Wylde,M,A,Ser,Ormund,Wylde,,,A Dance with Dragons,821,The Sacrifice,Asha Greyjoy
2043,"Ned Woods, Noseless Ned",M,A,,Ned,Woods,,Noseless Ned,A Dance with Dragons,822,The Sacrifice,Asha Greyjoy
2044,Arthor Karstark,M,A,,Arthor,Karstark,,,A Dance with Dragons,823,The Sacrifice,Asha Greyjoy
2045,Fingers,M,A,,Fingers,,,,A Dance with Dragons,825,The Sacrifice,Asha Greyjoy
2046,Rook,M,A,,Rook,,,,A Dance with Dragons,825,The Sacrifice,Asha Greyjoy
2047,Tom Tidewood,M,A,,Tom,Tidewood,,,A Dance with Dragons,828,Victarion I,Victarion Greyjoy
2048,"Steffar, Steffar Stammerer",M,A,,Steffar,,,Steffar Stammerer,A Dance with Dragons,829,Victarion I,Victarion Greyjoy
2049,Manfryd Merlyn,M,A,,Manfryd,Merlyn,,,A Dance with Dragons,830,Victarion I,Victarion Greyjoy
2050,Izembaro,M,A,,Izembaro,,,,A Dance with Dragons,846,The Ugly Little Girl,Arya Stark
2051,Ser Robert Strong,M,U,Ser,Robert,Strong,,,A Dance with Dragons,859,Cersei II,Cersei Lannister
2052,Bokkoko,M,A,,Bokkoko,,,,A Dance with Dragons,861,Tyrion XII,Tyrion Lannister
2053,Snatch,M,A,,Snatch,,,,A Dance with Dragons,864,Tyrion XII,Tyrion Lannister
2054,Kem,M,A,,Kem,,,,A Dance with Dragons,866,Tyrion XII,Tyrion Lannister
2055,Hammer,M,A,,Hammer,,,,A Dance with Dragons,866,Tyrion XII,Tyrion Lannister
2056,Kennet,M,D,,Kennet,,,,A Dance with Dragons,866,Tyrion XII,Tyrion Lannister
2057,Nail,M,A,,Nail,,,,A Dance with Dragons,867,Tyrion XII,Tyrion Lannister
2058,Steelskin,M,A,,Steelskin,,,,A Dance with Dragons,873,The Kingbreaker,Barristan Selmy
2059,Shiera Seastar,F,D,,Shiera,Seastar,,,A Dance with Dragons,875,The Kingbreaker,Barristan Selmy
2060,Grazdar,M,A,,Grazdar,,,,A Dance with Dragons,875,The Kingbreaker,Barristan Selmy
2061,Azzak,,A,,Azzak,,,,A Dance with Dragons,875,The Kingbreaker,Barristan Selmy
2062,Bhakaz,M,A,,Bhakaz,,,,A Dance with Dragons,875,The Kingbreaker,Barristan Selmy
2063,Dhazzar,,A,,Dhazzar,,,,A Dance with Dragons,876,The Kingbreaker,Barristan Selmy
2064,Tumco Lho,M,A,,Tumco,Lho,,,A Dance with Dragons,877,The Kingbreaker,Barristan Selmy
2065,"Larraq, The Lash",M,A,,Larraq,,,The Lash,A Dance with Dragons,877,The Kingbreaker,Barristan Selmy
2066,The Red Lamb,M,A,,,,,The Red Lamb,A Dance with Dragons,877,The Kingbreaker,Barristan Selmy
2067,"Lord Walter Whent, Old Lord Whent",M,U,Lord,Walter,Whent,,Old Lord Whent,A Dance with Dragons,878,The Kingbreaker,Barristan Selmy
2068,Draqaz,,A,,Draqaz,,,,A Dance with Dragons,882,The Kingbreaker,Barristan Selmy
2069,Jezhene,F,A,,Jezhene,,,,A Dance with Dragons,886,The Kingbreaker,Barristan Selmy
2070,"Gavin, The Trader",M,A,,Gavin,,,The Trader,A Dance with Dragons,904,Jon XIII,Jon Snow
2071,"Doss, Blind Doss",M,A,,Doss,,,Blind Doss,A Dance with Dragons,904,Jon XIII,Jon Snow
2072,Ygon Oldfather,M,A,,Ygon,Oldfather,,,A Dance with Dragons,904,Jon XIII,Jon Snow
2073,Tal Toraq,M,A,,Tal,Toraq,,,A Dance with Dragons,917,The Queen's Hand,Barristan Selmy
2074,Jokin,M,A,,Jokin,,,,A Dance with Dragons,917,The Queen's Hand,Barristan Selmy
2075,The Widower,M,A,,,,,The Widower,A Dance with Dragons,918,The Queen's Hand,Barristan Selmy
2076,Lord Renfred Rykker,M,A,Lord,Renfred,Rykker,,,A Dance with Dragons,966,Appendix,N/A
2077,Tyrion Tanner,M,A,,Tyrion,Tanner,,,A Dance with Dragons,966,Appendix,N/A
2078,Eerl Harlaw,M,A,,Eerl,Harlaw,,,A Dance with Dragons,971,Appendix,N/A
2079,Ser Richard Morrigen,M,A,Ser,Richard,Morrigen,,,A Dance with Dragons,979,Appendix,N/A
2080,Lord Arstan Selmy,M,A,Lord,Arstan,Selmy,,,A Dance with Dragons,979,Appendix,N/A
2081,Lord Casper Wylde,M,A,Lord,Casper,Wylde,,,A Dance with Dragons,979,Appendix,N/A
2082,Lord Sebastion Errol,M,A,Lord,Sebastion,Errol,,,A Dance with Dragons,980,Appendix,N/A
2083,Lord Clifford Swann,M,A,Lord,Clifford,Swann,,,A Dance with Dragons,980,Appendix,N/A
2084,Lady Mary Mertyns,F,A,Lady,Mary,Mertyns,,,A Dance with Dragons,980,Appendix,N/A
2085,Lady Alysanne Lefford,F,A,Lady,Alysanne,Lefford,,,A Dance with Dragons,985,Appendix,N/A
2086,Ser Lorent Lorch,M,A,Ser,Lorent,Lorch,,,A Dance with Dragons,985,Appendix,N/A
2087,Ser Tybolt Hetherspoon,M,A,Ser,Tybolt,Hetherspoon,,,A Dance with Dragons,985,Appendix,N/A
2088,Lord Quentyn Qorgyle,M,A,Lord,Quentyn,Qorgyle,,,A Dance with Dragons,987,Appendix,N/A
2089,Ser Symon Santagar,M,A,Ser,Symon,Santagar,,,A Dance with Dragons,988,Appendix,N/A
2090,Lord Trebor Jordayne,M,A,Lord,Trebor,Jordayne,,,A Dance with Dragons,988,Appendix,N/A
2091,Lord Daeron Vaith,M,A,Lord,Daeron,Vaith,,,A Dance with Dragons,988,Appendix,N/A
2092,Jyana Reed,F,D,,Jyana,Reed,,,A Dance with Dragons,991,Appendix,N/A
2093,Lady Bethany Bolton (Ryswell),F,D,Lady,Bethany,Bolton,Ryswell,,A Dance with Dragons,991,Appendix,N/A
2094,"Brandon Norrey, The Younger",M,A,,Brandon,Norrey,,The Younger,A Dance with Dragons,992,Appendix,N/A
2095,"Lord Torren Liddle, The Liddle",M,A,Lord,Torren,Liddle,,The Liddle,A Dance with Dragons,992,Appendix,N/A
2096,"Rickard Liddle, Little Liddle",M,A,,Rickard,Liddle,,Little Liddle,A Dance with Dragons,992,Appendix,N/A
2097,Alyn Blackwood,M,A,,Alyn,Blackwood,,,A Dance with Dragons,993,Appendix,N/A
2098,Edmund Blackwood,M,A,,Edmund,Blackwood,,,A Dance with Dragons,993,Appendix,N/A
2099,Barbara Bracken,F,A,,Barbara,Bracken,,,A Dance with Dragons,993,Appendix,N/A
2100,Jayne Bracken,F,A,,Jayne,Bracken,,,A Dance with Dragons,993,Appendix,N/A
2101,Catelyn Bracken,F,A,,Catelyn,Bracken,,,A Dance with Dragons,993,Appendix,N/A
2102,Bess Bracken,F,A,,Bess,Bracken,,,A Dance with Dragons,993,Appendix,N/A
2103,Alysanne Bracken,F,A,,Alysanne,Bracken,,,A Dance with Dragons,993,Appendix,N/A
2104,Eleanor Tarly (Mooton),F,A,,Eleanor,Tarly,Mooton,,A Dance with Dragons,994,Appendix,N/A
2105,Old Tattersalt,M,A,,,,,Old Tattersalt,A Dance with Dragons,999,Appendix,N/A
2106,Ser Maynard Holt,M,A,Ser,Maynard,Holt,,,A Dance with Dragons,999,Appendix,N/A
2107,Russ Barleycorn,M,A,,Russ,Barleycorn,,,A Dance with Dragons,999,Appendix,N/A
2108,Ferrego Antaryon,M,A,,Ferrego,Antaryon,,,A Dance with Dragons,1005,Appendix,N/A
2109,Qarro Volentin,M,A,,Qarro,Volentin,,,A Dance with Dragons,1005,Appendix,N/A
2110,The Daughter of the Dusk,F,A,,,,,The Daughter of the Dusk,A Dance with Dragons,1005,Appendix,N/A
2111,The Nightingale,F,A,,,,,The Nightingale,A Dance with Dragons,1005,Appendix,N/A
2112,Chezdhar zo Rhaezn,M,A,,Chezdhar,zo Rhaezn,,,A Dance with Dragons,1008,Appendix,N/A
2113,Maezon zo Rhaezn,M,A,,Maezon,zo Rhaezn,,,A Dance with Dragons,1008,Appendix,N/A
2114,Grazdhan zo Rhaezn,M,A,,Grazdhan,zo Rhaezn,,,A Dance with Dragons,1008,Appendix,N/A
2115,Torman Peake,M,A,,Torman,Peake,,,A Dance with Dragons,1014,Appendix,N/A
2116,Pykewood Peake,M,A,,Pykewood,Peake,,,A Dance with Dragons,1014,Appendix,N/A
2117,Caspor Hill,M,A,,Caspor,Hill,,,A Dance with Dragons,1014,Appendix,N/A
